,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
58,stimulus/incompatible/target_left,0.4228515625,,,,0.0,1.4326171875,0.0,0.4228515625,incompatible/target_left,left
60,stimulus/incompatible/target_right,,0.4697265625,,,,0.0,0.0,0.4697265625,incompatible/target_right,right
62,stimulus/compatible/target_left,0.34375,,0.0,,,,0.0,0.34375,compatible/target_left,left
64,stimulus/compatible/target_right,,0.3369140625,,0.0,,,0.0,0.3369140625,compatible/target_right,right
66,stimulus/compatible/target_right,,0.443359375,1.466796875,0.0,,,0.0,0.443359375,compatible/target_right,right
68,stimulus/compatible/target_left,0.4326171875,,0.0,,,,0.0,0.4326171875,compatible/target_left,left
70,stimulus/compatible/target_left,0.400390625,,0.0,1.4990234375,,,0.0,0.400390625,compatible/target_left,left
72,stimulus/compatible/target_right,,0.3818359375,,0.0,,1.466796875,0.0,0.3818359375,compatible/target_right,right
74,stimulus/incompatible/target_right,0.275390625,,1.4326171875,,,0.0,0.0,0.275390625,incompatible/target_right,left
76,stimulus/compatible/target_left,0.39453125,,0.0,,,,0.0,0.39453125,compatible/target_left,left
78,stimulus/incompatible/target_right,,0.443359375,,1.482421875,,0.0,0.0,0.443359375,incompatible/target_right,right
80,stimulus/compatible/target_right,,0.392578125,,0.0,,,0.0,0.392578125,compatible/target_right,right
82,stimulus/compatible/target_right,,0.5302734375,,0.0,,,0.0,0.5302734375,compatible/target_right,right
84,stimulus/compatible/target_right,,0.3642578125,,0.0,,,0.0,0.3642578125,compatible/target_right,right
86,stimulus/compatible/target_left,0.623046875,,0.0,,,,0.0,0.623046875,compatible/target_left,left
88,stimulus/compatible/target_left,0.38671875,,0.0,,,,0.0,0.38671875,compatible/target_left,left
90,stimulus/compatible/target_left,0.3955078125,,0.0,,,,0.0,0.3955078125,compatible/target_left,left
92,stimulus/compatible/target_right,,0.2998046875,,0.0,,,0.0,0.2998046875,compatible/target_right,right
94,stimulus/compatible/target_right,,0.3955078125,,0.0,,,0.0,0.3955078125,compatible/target_right,right
